DrugID;TradeNmR;InnR;PackNx;DosageR;PackQn;Pack;DrugFmNmRS;Segment;Year;Month;Series;TotDrugQn;MnfPrice;PrcPrice;RtlPrice;Funds;VendorID;Remark;SrcOrg;EAN;MaxMnfPrice;ExpiTermR;ClNm;MnfNm;PckNm;RegNr;RegDate
26;Бетавер;Бетагистин;522620;16 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;192.970000;2 года;Верофарм ОАО [г.Москва];Верофарм ОАО [г.Москва];Верофарм ОАО [г.Москва];ЛС-002346;08.12.2006 0:00
30;Овенкор;Симвастатин;534275;20 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка покрытая оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;547.820000;3 года;Озон ООО;Озон ООО;Озон ООО;ЛС-000527;15.07.2005 0:00
33;Сибазон-Ферейн;Диазепам;546555;5 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;10.800000;3 года;Брынцалов-А ЗАО;Брынцалов-А ЗАО;Брынцалов-А ЗАО;ЛС-000591;29.07.2005 0:00
34;Эуфиллин;Аминофиллин;549557;150 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;7.080000;2 года;Органика ОАО;Органика ОАО;Органика ОАО;ЛС-000120;08.04.2005 0:00
35;Кларитросин;Кларитромицин;555199;250 мг;10;10 шт., упаковка контурная ячейковая , пачка картонная;таблетка покрытая оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;113.500000;2 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;ЛС-000481;15.07.2005 0:00
36;Ионик ретард;Индапамид;557029;1.5 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка с контролируемым высвобождением покрытая оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;73.870000;2 года;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;ЛС-000939;18.11.2005 0:00
38;Тамсулон-ФС;Тамсулозин;561857;0.4 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;капсула с модифицированным высвобождением;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;452.250000;2 года;Фарм-Синтез ЗАО;Фарм-Синтез ЗАО;Фарм-Синтез ЗАО;ЛС-000859;03.11.2005 0:00
39;Тиолепта;Тиоктовая кислота;565321;300 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка покрытая оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;388.990000;2 года;Канонфарма продакшн ЗАО;Канонфарма продакшн ЗАО;Канонфарма продакшн ЗАО;ЛС-002172;03.11.2006 0:00
41;Калия йодид;Калия йодид;575305;0.1 мг;100;25 шт., упаковка контурная ячейковая  (4), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;44.030000;3 года;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;Р N003537/01;31.08.2009 0:00
42;Аспаркам;Калия и магния аспарагинат;578352;175+175 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;30.080000;3 года;Обновление ПФК ЗАО;Обновление ПФК ЗАО;Обновление ПФК ЗАО;ЛС-002168;03.11.2006 0:00
43;Ринсулин Р;Инсулин растворимый [человеческий генно-инженерный];582625;100 МЕ/мл;1;10 мл, флакон ;раствор для инъекций;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;363.270000;2 года;Национальные биотехнологии ОАО;Национальные биотехнологии ОАО;Национальные биотехнологии ОАО;ЛС-001808;28.07.2006 0:00
44;Ринсулин НПХ;Инсулин-изофан [человеческий генно-инженерный];582631;100 МЕ/мл;1;10 мл, флакон ;суспензия для подкожного введения;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;363.270000;2 года;Национальные биотехнологии ОАО;Национальные биотехнологии ОАО;Национальные биотехнологии ОАО;ЛС-001809;28.07.2006 0:00
45;Ципрофлоксацин-ФПО;Ципрофлоксацин;586966;500 мг;10;10 шт., упаковка контурная ячейковая , пачка картонная;таблетка покрытая оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;15.150000;2 года;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;ЛС-000857;28.10.2005 0:00
46;Форметин;Метформин;587088;500 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;41.340000;2 года;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;ЛСР-003304/07;22.10.2007 0:00
47;Флуконазол;Флуконазол;592635;150 мг;1;1 шт., упаковка контурная ячейковая , пачка картонная;капсула;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;17.400000;3 года;Биоком ЗАО;Биоком ЗАО;Биоком ЗАО;ЛС-000953;25.11.2005 0:00
49;Фамотидин;Фамотидин;599316;20 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка покрытая оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;14.670000;3 года;Озон ООО;Озон ООО;Озон ООО;ЛС-001456;24.03.2006 0:00
52;Зилт;Клопидогрел;607756;75 мг;28;7 шт., упаковка контурная ячейковая  (4), пачка картонная;таблетка покрытая оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;1064.890000;3 года;КРКА-Рус ООО;КРКА-Рус ООО;КРКА-Рус ООО;ЛС-001229;03.02.2006 0:00
53;Глидиаб;Гликлазид;612490;80 мг;60;10 шт., упаковка контурная ячейковая  (6), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;86.810000;4 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N000001/01;07.07.2006 0:00
55;Бипрол;Бисопролол;612800;5 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка покрытая оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;67.510000;3 года;Макиз-Фарма ЗАО;Макиз-Фарма ЗАО;Макиз-Фарма ЗАО;ЛС-001581;12.05.2006 0:00
56;Ранитидин-Акри;Ранитидин;612896;150 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка покрытая оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;16.010000;2 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N000032/01;04.08.2006 0:00
60;Нитроспрей;Нитроглицерин;629980;0.4 мг/доза;1;10 мл, 200 доз, флакон с дозирующим устройством полипропиленовый /комплект: насадка-распылитель, колпачок предохранительный/, пачка картонная;спрей подъязычный дозированный;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;65.390000;3 года;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;ЛСР-001698/07;24.07.2007 0:00
63;Бетагистин;Бетагистин;633570;24 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;216.040000;2 года;Канонфарма продакшн ЗАО;Канонфарма продакшн ЗАО;Канонфарма продакшн ЗАО;ЛС-002330;08.12.2006 0:00
65;Тензар;Индапамид;644736;2.5 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка покрытая оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;58.320000;3 года;Озон ООО;Озон ООО;Озон ООО;ЛС-000528;30.11.2009 0:00
67;Азитрокс;Азитромицин;646363;250 мг;6;6 шт., упаковка контурная ячейковая , пачка картонная;капсула;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;203.970000;2 года;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Р N001157/01;29.12.2006 0:00
70;Метформин-Рихтер;Метформин;664894;500 мг;60;10 шт., упаковка контурная ячейковая  (6), пачка картонная;таблетка покрытая оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;124.490000;2 года;Гедеон Рихтер-Рус ЗАО;Гедеон Рихтер-Рус ЗАО;Гедеон Рихтер-Рус ЗАО;ЛС-001149;19.01.2006 0:00
72;Пирацетама таблетки покрытые оболочкой 0.2 г;Пирацетам;665836;200 мг;60;10 шт., упаковка контурная ячейковая  (6), пачка картонная;таблетка покрытая оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;16.990000;3 года;~;Асфарма ООО;Асфарма ООО;82/624/24;25.06.1982 0:00
73;Бензонала таблетки по 0.1 г;Бензобарбитал;665933;100 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;46.980000;4 года;~;Асфарма ООО;Асфарма ООО;70/183/17;30.03.1970 0:00
74;Аснитон;Бетагистин;669528;8 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;108.720000;2 года;Вертекс ЗАО;Вертекс ЗАО;Вертекс ЗАО;ЛСР-004681/07;11.12.2007 0:00
76;Лизиноприл;Лизиноприл;674865;10 мг;30;15 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;90.600000;2 года;Скопинский фармацевтический завод ЗАО;Скопинский фармацевтический завод ЗАО;Скопинский фармацевтический завод ЗАО;ЛС-000289;20.05.2005 0:00
77;Пирацетам;Пирацетам;675866;200 мг;60;10 шт., упаковка контурная ячейковая  (6), пачка картонная;таблетка покрытая оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;11.600000;3 года;Марбиофарм ОАО;Марбиофарм ОАО;Марбиофарм ОАО;Р N000377/01;29.12.2006 0:00
78;Метоклопрамид;Метоклопрамид;679145;10 мг;50;10 шт., упаковка контурная ячейковая [бумага с полимерным покрытием]  (5), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;15.470000;2 года;Обновление ПФК ЗАО;Обновление ПФК ЗАО;Обновление ПФК ЗАО;ЛС-001643;09.06.2006 0:00
79;Хлоргексидина биглюконат;Хлоргексидин;685304;0.05%;1;100 мл, флакон полиэтиленовый с насадкой полимерной;раствор наружного применения;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;9.290000;2 года;Росбио ООО;Росбио ООО;Росбио ООО;Р N000734/01;29.12.2006 0:00
80;Нацеф;Цефазолин;686513;1 г;1;флакон , пачка картонная;порошок для приготовления раствора для внутривенного и внутримышечного введения;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;47.740000;3 года;Аболмед ООО [г.Москва];Аболмед ООО [г.Москва];Аболмед ООО [г.Москва];Р N000882/01;17.04.2007 0:00
82;Фенигидин;Нифедипин;693181;10 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;9.180000;2 года;Фармпроект ЗАО;Фармпроект ЗАО;Фармпроект ЗАО;Р N001714/01;23.07.2008 0:00
83;Ко-тримоксазол;Ко-тримоксазол [Сульфаметоксазол+Триметоприм];694584;480 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;9.580000;2 года;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Р N000700/01;27.12.2007 0:00
86;L-Тироксин-Акри;Левотироксин натрия;701911;0.1 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;48.800000;3 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N000680/01;07.08.2007 0:00
87;Седуксен;Диазепам;702583;5 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;14.720000;5 лет;Гедеон Рихтер-Рус ЗАО;Гедеон Рихтер-Рус ЗАО;Гедеон Рихтер-Рус ЗАО;Р N002110/01;27.12.2007 0:00
88;Ко-тримоксазол;Ко-тримоксазол [Сульфаметоксазол+Триметоприм];711515;480 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;11.020000;2 года;Биосинтез ОАО;Биосинтез ОАО;Биосинтез ОАО;Р N000908/01;13.04.2009 0:00
90;Карбамазепин-Акри;Карбамазепин;712515;200 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;28.610000;4 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N000852/01;07.09.2007 0:00
91;Пирацетам;Пирацетам;718941;400 мг;60;10 шт., упаковка контурная ячейковая  (6), пачка картонная;капсула;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;25.760000;3 года;Фармпроект ЗАО;Фармпроект ЗАО;Фармпроект ЗАО;Р N001713/01;09.09.2008 0:00
92;Липоевая кислота;Тиоктовая кислота;719537;25 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка покрытая оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;24.780000;3 года;Марбиофарм ОАО;Марбиофарм ОАО;Марбиофарм ОАО;Р N001574/01;10.05.2007 0:00
93;Эналаприл;Эналаприл;719576;10 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;6.150000;2 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N001451/01;12.12.2007 0:00
94;Релаксон;Зопиклон;722976;7.5 мг;20;5 шт., упаковка контурная ячейковая  (4), пачка картонная;таблетка покрытая пленочной оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;101.040000;3 года;Верофарм ОАО [г.Москва];Верофарм ОАО [г.Москва];Верофарм ОАО [г.Москва];Р N001759/01;26.12.2007 0:00
96;Трамадол-Акри;Трамадол;723634;50 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;капсула;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;59.130000;4 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N001128/01;05.12.2007 0:00
97;Преднизолон;Преднизолон;728360;5 мг;100;10 шт., упаковка контурная ячейковая  (10), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;44.180000;2 года;Обновление ПФК ЗАО;Обновление ПФК ЗАО;Обновление ПФК ЗАО;ЛС-002459;29.12.2006 0:00
98;Омепразол-ФПО;Омепразол;731082;20 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;капсула;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;19.400000;3 года;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;Р N001558/01;30.06.2009 0:00
100;Пирацетам;Пирацетам;739503;400 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;капсула;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;15.480000;3 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N001902/01;22.01.2008 0:00
101;Ацикловир-Акри;Ацикловир;739810;5%;1;5 г, туба алюминиевая;мазь для наружного применения;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;18.100000;3 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N000241/02;24.04.2008 0:00
102;Флюкостат;Флуконазол;742243;150 мг;1;1 шт., упаковка контурная ячейковая , пачка картонная;капсула;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;134.620000;2 года;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Р N001361/01;31.03.2008 0:00
103;Нистатин;Нистатин;742625;500 тыс.ЕД;20;20 шт., банка полимерная, пачка картонная;таблетка покрытая пленочной оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;17.240000;2 года;Биосинтез ОАО;Биосинтез ОАО;Биосинтез ОАО;Р N000840/03;07.08.2008 0:00
104;Омепразол;Омепразол;747808;20 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;капсула;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;18.630000;3 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N001520/01;14.08.2008 0:00
105;Ацикловир;Ацикловир;754096;5%;1;5 г, туба алюминиевая;мазь для наружного применения;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;13.060000;2 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N001595/01;11.09.2008 0:00
106;Ацикловир-АКОС;Ацикловир;754104;200 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;15.180000;3 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N001595/02;11.09.2008 0:00
108;Верапамил;Верапамил;756084;40 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка покрытая пленочной оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;23.160000;3 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N001573/01;07.08.2008 0:00
109;Сальбутамол;Сальбутамол;757784;0.1 мг/доза;1;12 мл, 90 доз, баллон аэрозольный с клапаном дозирующего действия алюминиевый /комплект: насадка-распылитель/, пачка картонная;аэрозоль для ингаляций дозированный;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;65.610000;2 года;Мосхимфармпрепараты им.Н.А.Семашко ОАО;Мосхимфармпрепараты им.Н.А.Семашко ОАО;Мосхимфармпрепараты им.Н.А.Семашко ОАО;ЛС-001925;29.12.2006 0:00
111;Эналаприл;Эналаприл;758926;10 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,64E+12;10.370000;3 года;Озон ООО;Озон ООО;Озон ООО;Р N001694/01;09.11.2007 0:00
113;Каптоприл;Каптоприл;763844;25 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;8.100000;3 года;Озон ООО;Озон ООО;Озон ООО;Р N001695/01;12.11.2007 0:00
114;Каптоприл;Каптоприл;769106;25 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;5.570000;2 года;Биосинтез ОАО;Биосинтез ОАО;Биосинтез ОАО;Р N000732/01;09.04.2008 0:00
117;Каптоприл-АКОС;Каптоприл;771556;25 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;6.310000;2 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N002388/01;19.11.2008 0:00
118;Ацикловир;Ацикловир;772188;5%;1;5 г, туба алюминиевая;мазь для наружного применения;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;23.630000;3 года;Нижфарм ОАО;Нижфарм ОАО;Нижфарм ОАО;Р N002224/01;06.02.2009 0:00
120;Ацикловир;Ацикловир;774335;200 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;22.420000;3 года;Озон ООО;Озон ООО;Озон ООО;Р N002752/01;23.07.2008 0:00
121;Фамотидин-Акри;Фамотидин;775750;20 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка покрытая пленочной оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;21.860000;3 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N001957/01;11.08.2008 0:00
122;Фенотропил;Фонтурацетам;777553;100 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;672.840000;5 лет;Валента Фармацевтика ОАО;Валента Фармацевтика ОАО;Валента Фармацевтика ОАО;Р N002784/01;08.04.2009 0:00
124;Гликлазид-АКОС;Гликлазид;784057;80 мг;60;10 шт., упаковка контурная ячейковая  (6), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;115.000000;3 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N002377/01;24.11.2008 0:00
125;Ранитидин-АКОС;Ранитидин;786087;150 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка покрытая пленочной оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;9.900000;3 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N002761/01;24.11.2008 0:00
127;Фамотидин-АКОС;Фамотидин;788544;20 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка покрытая пленочной оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;7.730000;2 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N002986/01;09.02.2009 0:00
129;Ранитидин;Ранитидин;799512;150 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка покрытая пленочной оболочкой;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;13.620000;3 года;Озон ООО;Озон ООО;Озон ООО;Р N002604/01;14.10.2008 0:00
130;Хлоргексидин;Хлоргексидин;800773;0.05%;1;100 мл, флакон полиэтиленовый с насадкой полимерной;раствор для местного и наружного применения;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,61E+12;8.390000;2 года;Биоген НПЦ ОУ;Биоген НПЦ ОУ;Биоген НПЦ ОУ;Р N000201/01;10.09.2008 0:00
131;Цефазолин-АКОС;Цефазолин;802783;500 мг;50;флакон  (50), коробка картонная;порошок для приготовления раствора для внутривенного и внутримышечного введения;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;375.560000;3 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;Р N002895/01;20.03.2009 0:00
132;Дексаметазон;Дексаметазон;804688;0.5 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка;;2014;6;;0.00;0.00;0.00;0.00;0.00;;;;4,60E+12;23.920000;4 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N002537/01;25.01.2010 0:00
